Date,Name,Year,Letterboxd URI,Rating
2024-11-18,The Wild,2006,https://boxd.it/1Xz6,2
2024-11-19,"I, Robot",2004,https://boxd.it/27y8,3.5
2024-11-23,Mortal Engines,2018,https://boxd.it/fahg,2
2024-11-30,Sympathy for Mr. Vengeance,2002,https://boxd.it/23WU,4.5
2024-12-01,Werewolf by Night,2022,https://boxd.it/xMrO,3
2024-12-01,Smile 2,2024,https://boxd.it/FDA4,3.5
2024-12-01,Jumper,2008,https://boxd.it/20ss,2
2024-12-08,The Wailing,2016,https://boxd.it/9fLy,4
2024-12-26,The Meg,2018,https://boxd.it/bAL4,2.5
2024-12-28,"The Good, the Bad and the Ugly",1966,https://boxd.it/2ape,4.5
2024-12-28,A Fistful of Dollars,1964,https://boxd.it/2auo,3.5
2024-12-28,The Hateful Eight,2015,https://boxd.it/8gw8,5
2024-12-29,John Wick,2014,https://boxd.it/7dEc,4
2024-12-29,The Fall Guy,2024,https://boxd.it/s0Bm,3
2024-12-29,Independence Day,1996,https://boxd.it/2a1w,3.5
2024-12-30,Airplane!,1980,https://boxd.it/29yu,3.5
2024-12-30,Bramayugam,2024,https://boxd.it/Iekc,4
2024-12-30,Monty Python and the Holy Grail,1975,https://boxd.it/29GI,4
2024-12-30,Snatch,2000,https://boxd.it/2b7U,4.5
2024-12-31,Knowing,2009,https://boxd.it/1Pmy,2.5
2025-01-01,Blade,1998,https://boxd.it/1a8A,3.5
2025-01-01,One Cut of the Dead,2017,https://boxd.it/iAFu,4.5
2025-01-01,Five Nights at Freddy's,2023,https://boxd.it/ikHu,1.5
2025-01-04,Troy,2004,https://boxd.it/29TW,4
2025-01-04,The Wild Robot,2024,https://boxd.it/IWFy,4.5
2025-01-05,Mr. Peabody & Sherman,2014,https://boxd.it/2TRM,3
2025-01-08,Under the Skin,2013,https://boxd.it/3mDa,3.5
2025-01-12,Red Ghost,2020,https://boxd.it/l9mm,3
2025-01-12,Evangelion: 1.0 You Are (Not) Alone,2007,https://boxd.it/1MKi,3.5
2025-01-13,Cure,1997,https://boxd.it/1blA,4
2025-01-16,Rosemary's Baby,1968,https://boxd.it/29zM,4
2025-01-19,Anchorman: The Legend of Ron Burgundy,2004,https://boxd.it/1ZVo,3
2025-01-19,Tumbbad,2018,https://boxd.it/jDZk,4
2025-01-24,Nosferatu,2024,https://boxd.it/f5eG,4
2025-01-25,The Bad Guys,2022,https://boxd.it/nkg4,3
2025-01-31,Forgotten,2017,https://boxd.it/hAJE,4
2025-01-31,The Chaser,2008,https://boxd.it/1PgU,4.5
2025-02-03,The Whole Nine Yards,2000,https://boxd.it/27vS,3
2025-02-06,Confession of Murder,2012,https://boxd.it/4uK6,3.5
2025-02-12,SPY x FAMILY CODE: White,2023,https://boxd.it/EdkW,3
2025-02-12,Late Night with the Devil,2023,https://boxd.it/zo6G,4
2025-02-13,Jackie Brown,1997,https://boxd.it/2aVO,4
2025-02-16,Tokyo Godfathers,2003,https://boxd.it/1Qg2,4
2025-02-21,Oldboy,2003,https://boxd.it/29R2,4.5
2025-02-25,28 Days Later,2002,https://boxd.it/2aXU,4
2025-02-26,The Truman Show,1998,https://boxd.it/18U8,4.5
2025-02-26,The Pianist,2002,https://boxd.it/2aqc,5
2025-03-02,The Adventures of Tintin,2011,https://boxd.it/1Irc,4
2025-03-02,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
2025-03-03,Sonic the Hedgehog 3,2024,https://boxd.it/zq0U,3.5
2025-03-07,"The Pig, the Snake and the Pigeon",2023,https://boxd.it/DAoU,4
2025-03-12,Bad Boys: Ride or Die,2024,https://boxd.it/l3Ki,3
2025-03-16,Speed,1994,https://boxd.it/28qk,3
2025-03-17,Chinatown,1974,https://boxd.it/29vU,4
2025-03-20,Vertigo,1958,https://boxd.it/2apI,4
2025-03-21,Lady Vengeance,2005,https://boxd.it/248G,4
2025-03-21,The Gorge,2025,https://boxd.it/zRqK,2.5
2025-03-27,American Made,2017,https://boxd.it/bb66,3.5
2025-03-27,The Batman,2022,https://boxd.it/eDGs,5
2025-03-28,The Talented Mr. Ripley,1999,https://boxd.it/2924,4
2025-03-31,I Saw the Devil,2010,https://boxd.it/FaK,4
2025-04-05,Barry Lyndon,1975,https://boxd.it/25A2,4.5
2025-04-08,The Revenant,2015,https://boxd.it/8H5e,4
2025-04-10,Ready or Not,2019,https://boxd.it/kOf0,3.5
2025-04-12,The Secret in Their Eyes,2009,https://boxd.it/1vWw,4.5
2025-04-12,Crazxy,2025,https://boxd.it/QKu0,3.5
2025-04-13,Kizumonogatari Part 1: Tekketsu,2016,https://boxd.it/c7sO,4
2025-04-17,HIT: The 2nd Case,2022,https://boxd.it/uzQq,3.5
2025-04-17,HIT: The First Case,2020,https://boxd.it/pifM,4
2025-04-20,Scary Stories to Tell in the Dark,2019,https://boxd.it/eJTW,2
2025-04-24,Kizumonogatari Part 2: Nekketsu,2016,https://boxd.it/cq8o,4
2025-04-25,Dev.D,2009,https://boxd.it/1L5I,3
2025-04-26,Kizumonogatari Part 3: Reiketsu,2017,https://boxd.it/cq8y,4.5
2025-04-27,Psycho,1960,https://boxd.it/2ab2,4.5
2025-04-27,Vikram,2022,https://boxd.it/rUJa,4.5
2025-04-28,Hell House LLC,2015,https://boxd.it/cdjy,4
2025-04-29,Dune,2021,https://boxd.it/fA7G,4.5
2025-04-29,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2025-04-29,12 Angry Men,1957,https://boxd.it/2auI,4.5
2025-04-29,"Monica, O My Darling",2022,https://boxd.it/yuuM,3.5
2025-04-29,Alien,1979,https://boxd.it/2awY,4
2025-05-01,The Sixth Sense,1999,https://boxd.it/29Js,4
2025-05-01,Ghost in the Shell,1995,https://boxd.it/1YYc,4.5
2025-05-03,Deadstream,2022,https://boxd.it/xryY,4
2025-05-11,Drag Me to Hell,2009,https://boxd.it/1Jzw,2.5
2025-05-11,Vampire Hunter D,1985,https://boxd.it/1YCg,3.5
2025-05-11,Wallace & Gromit: The Curse of the Were-Rabbit,2005,https://boxd.it/2ac0,3.5
2025-05-11,Fight or Flight,2024,https://boxd.it/K22E,2.5
2025-05-11,Blue Streak,1999,https://boxd.it/1UT8,3
2025-05-13,Vampire Hunter D: Bloodlust,2000,https://boxd.it/1L3i,4
2025-05-14,Mission: Impossible,1996,https://boxd.it/29d2,3.5
2025-05-17,Mission: Impossible II,2000,https://boxd.it/29cS,2.5
2025-05-17,Mission: Impossible III,2006,https://boxd.it/29cI,4
2025-05-18,Mission: Impossible – Ghost Protocol,2011,https://boxd.it/psI,3.5
2025-05-21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY,4
2025-05-23,A Clockwork Orange,1971,https://boxd.it/2aVE,4.5
2025-05-24,Coherence,2013,https://boxd.it/6xza,4
2025-05-24,Mission: Impossible – The Final Reckoning,2025,https://boxd.it/l7A2,4
2025-05-26,Upgrade,2018,https://boxd.it/i4gW,3.5
2025-06-02,Carlito's Way,1993,https://boxd.it/226e,4
2025-06-02,Scary Movie 3,2003,https://boxd.it/24Be,2
2025-06-06,Sinners,2025,https://boxd.it/KQMM,4
2025-06-10,Paprika,2006,https://boxd.it/23wW,4
2025-06-13,Blow Out,1981,https://boxd.it/1TlE,3.5
2025-06-14,The Man from Nowhere,2010,https://boxd.it/AZy,3.5
2025-06-15,The Evil Dead,1981,https://boxd.it/29Go,3.5
2025-06-17,Possession,1981,https://boxd.it/1BPm,4.5
2025-06-19,Asteroid City,2023,https://boxd.it/s3ds,3
2025-06-20,Godzilla Minus One,2023,https://boxd.it/zu4c,4
2025-06-23,The Cable Guy,1996,https://boxd.it/1XAI,3.5
2025-06-23,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3.5
2025-06-25,Le Trou,1960,https://boxd.it/1nSw,4
2025-06-28,HIT: The Third Case,2025,https://boxd.it/E7vu,3
2025-07-03,Brightburn,2019,https://boxd.it/jk58,2.5
2025-07-05,Timecrimes,2007,https://boxd.it/1OGM,3.5
2025-07-06,Sausage Party,2016,https://boxd.it/6CCe,2.5
2025-07-06,Dirty Harry,1971,https://boxd.it/299E,4
2025-07-08,Mickey 17,2025,https://boxd.it/q1Dk,4
2025-07-11,Mystic River,2003,https://boxd.it/2aAG,4
2025-07-12,F1,2025,https://boxd.it/yjVM,4.5
2025-07-13,The Creator,2023,https://boxd.it/oXWq,4
2025-07-14,Midsommar,2019,https://boxd.it/jhxe,4
2025-07-17,Maanaadu,2021,https://boxd.it/ju24,3
2025-07-22,The Pursuit of Happyness,2006,https://boxd.it/28PE,4
2025-07-24,Superman,2025,https://boxd.it/E9IU,4
2025-07-25,Hot Fuzz,2007,https://boxd.it/2416,3.5
2025-07-26,Eyes Wide Shut,1999,https://boxd.it/2axs,4
2025-07-28,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,4.5
2025-07-28,Creep,2014,https://boxd.it/7l4c,3.5
2025-08-02,Exhuma,2024,https://boxd.it/vCu0,3
2025-08-05,28 Weeks Later,2007,https://boxd.it/28Bi,3
2025-08-10,The Mist,2007,https://boxd.it/22r2,3.5
